company_name,world_rank_2022,world_rank_2021,world_rank_2020,company_business,local_rank_2022,local_rank_2021,local_rank_2020,num_employees,founded_year,ipo_year,matched_to,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,currency,status,use_cases,slugs_matched,related_companies,total_articles,profile_tier
PENSKE AUTOMOTIVE GROUP,2168.0,2543.0,3141.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Automobile Dealers']",791.0,1003.0,1003.0,41500.0,1990.0,,"Penske Automotive Group, Inc.",11.133,9.921,9.37,9.94,0.436,0.544,1.188,1.38,5.28,6.74,14.89,18.55,23.179,20.444,25.555,27.815,5.069,4.928,5.487,5.722,-0.533,-0.136,-0.623,-0.642,13.944,13.247,13.465,14.115,2.812,3.326,4.095,4.175,USD,,,,,,
WILLIAMS-SONOMA,1738.0,1486.0,2434.0,"['Consumer Cyclical', 'Construction Materials', 'Consumer Services', 'Home Furnishing', 'Retail']",662.0,713.0,820.0,21000.0,1956.0,,"Williams-Sonoma, Inc.",,2.818,3.01,2.961,,0.356,0.681,1.126,,4.5600000000000005,8.81,15.17,,5.898,6.783,8.246,,1.236,1.651,1.664,,-0.186,-0.169,-0.226,,4.054,4.661,4.626,,1.236,1.651,1.664,USD,,,,,,
OWENS CORNING,2040.0,1925.0,2059.0,"['Industries', 'Capital Goods', 'Machinery Manufacturing', 'Manufacturing', 'Building Products and Equipment']",748.0,695.0,700.0,19000.0,1938.0,,Owens Corning,5.335,5.54,5.68,6.131,0.405,-0.383,0.995,1.241,3.71,-3.53,9.61,12.85,7.16,7.055,8.498,9.761,7.617,7.027,7.256,7.567,-0.394,-0.205,-0.377,-0.623,10.006,9.481,10.015,10.752,4.671,3.941,4.335,4.621,USD,,,,,,
AMERICAN AIRLINES GROUP,1574.0,1584.0,1217.0,"['Industries', 'Airlines', 'Aviation', 'Transportation', 'Freight Transport']",609.0,630.0,469.0,129700.0,2013.0,,American Airlines Group Inc.,60.113,68.875,73.782,70.515,1.686,-8.885,-1.993,0.127,3.8,-18.36,-3.09,,45.768,17.337,29.882,48.971,21.336,22.929,28.231,26.59,-2.243,-4.342,-5.983,0.636,59.995,62.008,66.442,64.716,-0.118,-6.867,-7.34,-5.799,USD,,,,,,
TWILIO,493.0,291.0,1104.0,"['Communication Services', 'Software and IT', 'Artificial Intelligence', 'Technology', 'Cloud Services']",235.0,146.0,428.0,8156.0,2008.0,2016.0,Twilio Inc.,0.871,1.035,1.967,2.005,-0.307,-0.491,-0.95,-1.256,-2.36,-3.35,-5.45,,1.134,1.762,2.842,3.826,4.738,8.755,12.017,11.546,-1.286,-0.846,-2.49,-0.616,5.151,9.487,12.999,12.564,4.279,8.453,11.031,10.559,USD,True,,['twillio'],['Twillio'],0.0,3.0
LEGEND BIOTECH CORP,2553.0,3199.0,,"['Biopharmaceutical', 'Biotechnology', 'Healthcare']",892.0,1241.0,,1390.0,2014.0,2020.0,Legend Biotech Corporation,0.411,0.441,0.647,0.587,-0.133,-0.303,-0.386,-0.446,-1.326905,-2.26,-2.86,-2.8,0.057,0.076,0.09,0.117,-0.123,0.28,0.592,1.005,-0.059,-0.024,-0.195,-0.078,0.288,0.721,1.118,1.331,-0.123,0.28,0.471,0.744,USD,True,,['legend-star'],['Legend Star'],0.0,3.0
FEDERAL REALTY INVESTMENT TRUST,1813.0,2037.0,1457.0,"['Real Estate', 'Consumer Services', 'Investments', 'Retail', 'Property Investments']",685.0,815.0,533.0,322.0,1962.0,,Federal Realty Investment Trust,4.019,4.921,4.745,5.022,0.354,0.132,0.261,0.385,4.61,1.62,3.26,,0.936,0.835,0.951,1.074,5.892,6.756,6.628,7.283,-0.317,-0.368,-0.66,-0.786,6.795,7.608,7.622,8.234,2.776,2.686,2.877,3.212,USD,,,,,,
PENUMBRA,1967.0,1938.0,2456.0,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",720.0,825.0,822.0,3900.0,2004.0,2015.0,"Penumbra, Inc.",0.18,0.185,0.29,0.372,0.048,-0.016,0.005,-0.002,1.39,-0.44,0.14,-0.05,0.547,0.56,0.748,0.847,0.486,0.641,0.954,0.999,-0.013,-0.104,-0.022,0.055,0.666,0.823,1.244,1.371,0.486,0.638,0.954,0.999,USD,,,,,,
A. O. SMITH CORPORATION,1502.0,1743.0,1909.0,"['Industries', 'Electronics', 'Consumer Durables', 'Industry Machinery', 'Heating Equipment']",584.0,660.0,661.0,12000.0,1904.0,,A. O. Smith Corporation,1.391,1.312,1.642,1.585,0.37,0.345,0.487,0.236,2.24,2.13,3.05,1.559078,2.993,2.895,3.539,3.754,1.944,1.955,2.022,2.082,0.034,0.012,-0.35,0.008,3.058,3.161,3.474,3.332,1.667,1.848,1.832,1.748,USD,,,,,,
COMERICA,1550.0,1965.0,1465.0,"['Financial Services', 'Banking Services']",603.0,716.0,536.0,7649.0,1849.0,,Comerica Incorporated,66.075,80.079,86.719,80.225,1.198,0.474,1.168,1.151,7.98,3.45,8.45,,3.343,2.912,2.967,3.534,14.596,13.778,10.693,8.205,-0.494,-4.602,1.723,-9.952,73.402,88.129,94.616,85.406,7.327,8.05,7.897,5.181,USD,True,,"['comerica', 'comerica-incorporated']","['Comerica', 'Comerica Incorporated']",0.0,3.0
CLEVELAND-CLIFFS,1651.0,1714.0,4681.0,"['Basic Materials', 'Metals', 'Precious Metals', 'Mining', 'Iron and Steel']",635.0,781.0,1442.0,27000.0,1847.0,,Cleveland-Cliffs Inc.,3.146,14.43,13.201,10.713,0.293,-0.122,2.988,1.335,1.06,-0.32,5.63,2.5700000000000003,1.99,5.354,20.444,22.989,2.472,7.418,11.012,12.291,-0.644,-2.042,-1.379,-0.936,3.504,16.771,18.975,18.755,0.358,2.341,5.774,8.042,USD,,,,,,
GroupM,1681.0,1681.0,,"['Media', 'Advertising', 'Investments']",645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COACH, INC.",1712.0,1724.0,,"['Consumer Cyclical', 'Luxury Goods', 'Fashion and Luxury Goods', 'eCommerce', 'Retail']",656.0,,,16400.0,,,"Coach A Co., Ltd.",,0.939,1.478,1.527,,-0.299,0.245,0.419,,-136.398924,142.1,,,2.433,3.307,3.601,,1.309,1.643,2.873,,-0.057,-0.062,-0.055,,2.249,3.121,4.4,,1.309,1.643,2.873,JPY,,,,,,
CASEY'S GENERAL STORES,2436.0,2434.0,2393.0,"['Consumer Defensive', 'Retail', 'Restaurants', 'Food Products']",868.0,806.0,803.0,42481.0,1959.0,1983.0,"Casey's General Stores, Inc.",,2.301,2.528,3.265,,0.264,0.313,0.34,,7.14,8.44,9.14,,9.175,8.707,12.953,,2.358,3.294,3.904,,-0.467,-0.444,-1.158,,3.944,4.46,5.506,,1.643,1.933,2.241,USD,,,,,,
PINNACLE WEST CAPITAL CORPORATION,2257.0,2182.0,1499.0,"['Utilities', 'Electric Utilities']",813.0,653.0,544.0,5861.0,1985.0,,Pinnacle West Capital Corporation,12.926,14.268,15.982,16.564,0.538,0.551,0.619,0.484,4.79,4.89,5.48,4.27,3.471,3.587,3.804,4.324,10.263,11.948,12.82,13.79,-1.131,-1.278,-1.387,-1.618,18.479,20.02,22.003,22.723,5.553,5.753,6.021,6.16,USD,,,,,,
NEW FORTRESS ENERGY LLC,3307.0,2967.0,4422.0,"['Utilities', 'Gas Utilities', 'Electricity Generation', 'Power Generation']",1108.0,641.0,1365.0,577.0,2014.0,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXACT SCIENCES CORPORATION,1522.0,1190.0,1126.0,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products', 'Health Care Diagnostics']",591.0,369.0,436.0,6400.0,1995.0,2001.0,Exact Sciences Corporation,1.218,2.102,3.297,3.184,-0.084,-0.849,-0.596,-0.624,-1.62,-5.45,-3.48,-3.54,0.876,1.491,1.767,2.084,3.116,4.167,5.568,5.279,-0.121,-0.702,-1.082,0.074,3.506,4.925,6.685,6.227,2.288,2.823,3.388,3.043,USD,,,,,,
WYNN RESORTS,1921.0,1713.0,1010.0,"['Consumer Cyclical', 'Hotels', 'Resorts', 'Casinos', 'Consumer Services']",709.0,546.0,398.0,27000.0,2002.0,2002.0,"Wynn Resorts, Limited",12.33,14.607,13.367,15.055,0.123,-2.067,-0.756,-0.424,1.15,-19.37,-6.64,-3.73,6.611,2.096,3.764,3.757,11.823,12.117,11.67,10.818,-1.069,-0.266,-0.342,1.349,13.871,13.87,12.531,13.415,1.541,-0.737,-0.836,-1.64,USD,,,,,,
TOAST,1409.0,1269.0,2707.0,"['Software and IT', 'Cloud Services', 'Technology Hardware and Instruments', 'Technology']",552.0,910.0,887.0,4500.0,2012.0,2021.0,"Toast, Inc.",0.636,1.247,0.644,0.663,-0.209,-0.248,-0.487,-0.275,-0.453186,-0.5399200000000001,-1.6800000000000002,-0.54,0.665,0.823,1.705,2.731,-0.33,-0.299,1.091,1.098,-0.047,-0.036,-0.503,-0.098,0.306,0.776,1.735,1.761,-0.33,-0.471,1.091,1.098,USD,,,,,,
QORVO,1194.0,1045.0,1170.0,"['Technology', 'Electronics', 'Semiconductors', 'Communications Equipment']",497.0,382.0,450.0,8900.0,2015.0,,"Qorvo, Inc.",,2.268,2.592,2.956,,0.334,0.734,1.033,,2.916685,6.43,9.529996,,3.239,4.015,4.646,,5.86,6.372,6.6,,-1.106,-0.219,-0.596,,6.561,7.221,7.509,,4.293,4.629,4.553,USD,,,,,,
SUBWAY,1633.0,1633.0,,"['Retail', 'Food Chains / Distributor', 'Restaurants']",629.0,606.0,,79175.0,1965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON INGALLS INDUSTRIES,2317.0,2286.0,1464.0,"['Industries', 'Defense Products', 'Transportation', 'Capital Goods', 'Marine Transportation']",828.0,784.0,535.0,43000.0,2011.0,,"Huntington Ingalls Industries, Inc.",5.443,6.256,7.819,7.368,0.549,0.696,0.544,0.579,13.26,17.14,13.5,14.44,8.899,9.361,9.524,10.676,2.874,3.587,6.106,5.995,-0.627,-0.759,-1.954,-0.268,7.031,8.157,10.627,10.857,1.588,1.901,2.808,3.489,USD,,,,,,
BLACK KNIGHT,1596.0,1701.0,1585.0,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Analytics']",616.0,499.0,572.0,6100.0,2014.0,2017.0,"Black Knight, Inc.",2.064,2.885,3.072,3.211,0.109,0.264,0.208,0.452,0.74,1.74,1.34,,1.177,1.238,1.475,1.552,3.364,4.75,4.453,5.195,-0.551,-2.089,-0.43,-0.124,3.963,6.09,6.351,5.832,1.898,3.206,3.279,2.621,USD,True,['Data Management'],['black'],['Black'],0.0,2.0
CAESARS ENTERTAINMENT CORPORATION,1076.0,1009.0,1627.0,"['Consumer Cyclical', 'Hotels', 'Consumer Services', 'Gaming', 'Entertainment']",450.0,456.0,582.0,21000.0,1937.0,2012.0,"Caesars Entertainment, Inc.",4.523,31.351,33.49,29.776,0.081,-1.757,-1.019,-0.899,1.04,-13.5,-4.83,-4.19,2.528,3.474,9.57,10.821,3.442,19.089,18.202,16.372,0.37,-6.185,-2.923,-0.382,5.641,36.385,38.031,33.527,1.117,5.034,4.541,3.751,USD,,,,,,
JABIL,1882.0,2120.0,2230.0,"['Technology', 'Electronics', 'Electrical Products', 'Capital Goods']",698.0,822.0,751.0,250000.0,1966.0,1993.0,Jabil Inc.,11.07,12.572,14.517,17.265,0.287,0.054,0.696,0.996,1.85,0.36,4.69,7.06,25.282,27.266,29.285,33.478,4.009,4.49,5.014,5.026,-0.872,-0.921,-0.851,-0.858,12.97,14.397,16.654,19.717,1.901,1.825,2.137,2.452,USD,,,,,,
DICK'S SPORTING GOODS,1975.0,1634.0,3017.0,"['Consumer Cyclical', 'Consumer Services', 'Retail']",723.0,964.0,969.0,50800.0,1948.0,,"DICK'S Sporting Goods, Inc.",,4.897,5.413,6.94,,0.297,0.53,1.52,,3.4,6.29,18.27,,8.751,9.584,12.293,,1.956,2.758,4.032,,-0.129,-0.224,-0.344,,6.629,7.753,9.042,,1.732,2.34,2.102,USD,,,,,,
"WOLFSPEED, INC.",,,,"['Electric Vehicles', 'Electronics']",,,,4017.0,,,"Wolfspeed, Inc.",0.776,1.142,1.33,1.478,-0.375,-0.192,-0.524,-0.201,-3.62,-1.78,-4.66,-1.67,1.08,0.471,0.526,0.746,2.505,2.867,2.94,3.461,-0.227,-0.487,-0.449,-0.391,2.817,3.231,3.447,3.918,2.041,2.089,2.116,2.439,USD,,,,,,
TAPESTRY,1770.0,1782.0,1979.0,"['Consumer Cyclical', 'Luxury Goods', 'Apparels and Accessories', 'Textile', 'Fashion and Luxury Goods']",672.0,671.0,680.0,16400.0,1941.0,,"Tapestry, Inc.",3.364,5.648,5.123,4.98,0.643,-0.652,0.834,0.856,2.22,-2.34,3.0,3.24,6.027,4.961,5.746,6.684,5.115,3.864,4.85,3.945,-0.574,0.044,-0.091,-0.254,6.877,7.924,8.382,7.265,3.513,2.276,3.259,2.286,USD,,,,,,
WESTROCK COMPANY,1588.0,1496.0,1362.0,"['Consumer Cyclical', 'Packaging', 'Packaging Machines', 'Machinery Manufacturing', 'Packaging Materials']",613.0,570.0,502.0,39000.0,2015.0,2015.0,WestRock Company,18.471,18.131,17.563,16.98,0.863,-0.691,0.838,0.945,3.36,-2.67,3.16,3.712657,18.289,17.579,18.746,21.256,21.172,19.838,19.696,18.977,-4.58,-0.922,-0.676,-0.776,30.157,28.78,29.254,28.406,11.686,10.649,11.692,11.425,USD,,,,,,
STORE CAPITAL CORPORATION,1992.0,1966.0,1718.0,"['Real Estate', 'Consumer Services', 'Investments', 'Property Investments']",732.0,655.0,611.0,117.0,2011.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYRUSONE,1664.0,2035.0,1968.0,"['Real Estate', 'Consumer Services', 'Data Centers', 'Investments', 'Property Investments']",641.0,664.0,675.0,456.0,2001.0,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR,1491.0,1742.0,2211.0,"['Financial Services', 'Investments', 'Stock Markets, Trading, Capital Markets']",580.0,617.0,747.0,12224.0,1984.0,2005.0,VanEck Morningstar Wide Moat ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,['morningstar-ventures'],['Morningstar Ventures'],0.0,3.0
LATTICE SEMICONDUCTOR CORPORATION,1981.0,2202.0,4317.0,"['Technology', 'Semiconductors', 'Electronics']",725.0,828.0,1340.0,949.0,1983.0,,Lattice Semiconductor Corporation,0.284,0.296,0.315,0.312,0.043,0.047,0.096,0.179,0.33,0.35,0.7000000000000001,1.3,0.404,0.408,0.515,0.66,0.453,0.542,0.552,0.616,-0.016,-0.021,-0.09,-0.035,0.612,0.68,0.726,0.799,0.328,0.384,0.412,0.487,USD,,,,,,
SYNNEX CORPORATION,1809.0,2698.0,2190.0,"['Technology', 'Retail', 'Software and IT']",684.0,1114.0,738.0,23500.0,1980.0,2003.0,TD SYNNEX Corporation,7.91,9.13,19.76,21.708,0.501,0.529,0.395,0.651,9.79,10.28,6.28,6.79,23.757,19.977,31.614,62.344,6.507,5.836,11.861,11.861,-0.147,-0.209,-0.952,-0.116,11.698,13.469,27.666,29.734,3.788,4.339,7.906,8.026,USD,,,,,,
CUBESMART,1711.0,1832.0,2338.0,"['Real Estate', 'Consumer Services', 'Property Investments']",655.0,808.0,785.0,2804.0,2004.0,,CubeSmart,2.16,2.688,3.55,3.428,0.169,0.166,0.223,0.291,0.89,0.85,1.1,1.29,0.644,0.679,0.823,1.01,3.731,4.079,5.807,5.761,-0.376,-0.511,-1.853,-0.049,4.03,4.778,6.548,6.326,1.869,2.09,2.998,2.898,USD,,,,,,
"COINBASE GLOBAL, INC",297.0,262.0,1863.0,"['Internet or Mobile App Based Business', 'Financial Services', 'Technology', 'Cryptocurrency', 'Software and IT']",150.0,134.0,650.0,4510.0,2012.0,2021.0,"Coinbase Global, Inc.",1.895,4.329,14.893,84.27,-0.03,0.322,3.624,-2.625,-0.166099,0.5820649999999999,17.47,-11.81,0.534,1.277,7.839,3.194,0.497,1.526,9.766,8.848,-0.105,0.051,-1.125,-0.664,2.392,5.855,21.274,89.725,0.497,1.526,6.382,5.455,USD,True,"['Centralized Exchanges', 'Merchant Solutions', 'Payment Processor', 'Custody Solutions', 'Stablecoins', 'Custody Solutions']","['coinbase', 'coinbase-custody', 'coinbase-ventures']","['Coinbase', 'Coinbase Custody', 'Coinbase Ventures']",2301.0,1.0
REPLIGEN CORPORATION,1680.0,1357.0,2768.0,"['Healthcare', 'Biotechnology', 'Technology', 'HealthCare Products', 'Medical Equipment']",644.0,602.0,906.0,2025.0,1981.0,1986.0,Repligen Corporation,0.34,0.374,0.608,0.614,0.021,0.06,0.128,0.186,0.44,1.14,2.33,,0.27,0.366,0.671,0.802,0.006,0.066,1.75,0.397,-0.205,-0.201,-0.221,-0.233,1.4,1.903,2.358,2.525,1.06,1.529,1.75,1.911,USD,,,,,,
PERFORMANCE FOOD GROUP COMPANY,2458.0,2693.0,2334.0,"['Consumer Defensive', 'Retail', 'Food Chains / Distributor', 'Food Service']",871.0,824.0,783.0,35000.0,1875.0,2015.0,Performance Food Group Company,3.355,5.709,5.74,9.078,0.167,-0.114,0.041,0.112,1.61,-1.01,0.31,0.75,19.744,25.086,30.399,50.894,2.501,4.26,4.347,7.208,-0.349,-2.146,-0.2,-1.862,4.654,7.72,7.846,12.378,1.298,2.011,2.106,3.3,USD,,,,,,
CITRIX SYSTEMS,1619.0,1597.0,1069.0,"['Technology', 'Software and IT', 'Network Hardware and Software', 'Networking Products / Solutions', 'Software Products']",622.0,439.0,418.0,9700.0,1989.0,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORGWARNER,1655.0,1911.0,1669.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Capital Goods']",638.0,638.0,597.0,49000.0,1928.0,,BorgWarner Inc.,4.858,9.281,9.313,9.486,0.746,0.5,0.537,0.944,3.63,2.35,2.25,4.01,10.168,10.165,14.838,15.801,6.38,10.195,11.209,11.39,-0.489,-0.906,-1.395,-1.418,9.702,16.034,16.575,16.994,4.844,6.753,7.262,7.508,USD,,,,,,
AUTONATION,2411.0,2381.0,2984.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables', 'Retail']",859.0,841.0,960.0,23600.0,1996.0,,"AutoNation, Inc.",7.381,6.652,6.567,8.012,0.45,0.382,1.373,1.377,4.99,4.302142,18.5,24.47,21.336,20.39,25.844,26.985,3.162,5.028,2.377,2.048,-0.116,-0.074,-0.46,-0.479,10.543,9.887,8.944,10.06,3.162,3.236,2.377,2.048,USD,,,,,,
WILLSCOT CORPORATION,2088.0,2714.0,4921.0,"['Industries', 'Construction Materials', 'Furniture', 'Retail', 'Rent / Lease Services']",765.0,941.0,1496.0,4500.0,1955.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISTRA ENERGY,1752.0,2082.0,1368.0,"['Utilities', 'Electric Utilities', 'Electricity Generation', 'Power Generation']",667.0,632.0,506.0,4910.0,1882.0,,Vistra Corp,18.656,16.847,21.391,27.869,0.928,0.636,-1.274,-1.227,1.88,1.3,-2.69,,11.809,11.443,12.077,13.728,18.061,17.606,18.768,16.835,-1.717,-1.572,-1.153,-1.239,26.616,25.208,29.683,32.787,7.96,8.361,8.292,4.918,USD,,,,,,
CARMAX,1058.0,1060.0,1064.0,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'eCommerce', 'Retail']",445.0,457.0,417.0,30621.0,1993.0,,"CarMax, Inc.",,17.313,17.177,21.103,,0.888,0.747,1.151,,5.39,4.58,7.09,,20.32,18.95,31.9,,18.713,18.985,23.41,,-0.389,-0.128,-0.524,,21.082,21.542,26.338,,3.769,4.365,5.235,USD,,,,,,
CERIDIAN HCM HOLDING,1477.0,1254.0,1518.0,"['Technology', 'Software and IT', 'Software Products']",574.0,446.0,550.0,8526.0,2013.0,2018.0,Ceridian HCM Holding Inc.,4.203,4.603,4.939,5.808,0.079,-0.004,-0.075,-0.073,0.55,-0.03,-0.5,-0.48,0.824,0.842,1.024,1.246,2.549,2.759,3.352,3.323,-0.119,0.039,-0.711,-0.342,6.086,6.701,7.166,7.917,1.882,2.098,2.228,2.109,USD,,,,,,
BATH & BODY WORKS INC,1309.0,1194.0,2721.0,"['Consumer Cyclical', 'Luxury Goods', 'Retail', 'Clothing', 'Apparels and Accessories']",519.0,607.0,893.0,57200.0,1963.0,,"Bath & Body Works, Inc.",,11.62,12.232,7.543,,-0.366,0.844,1.333,,-1.33,3.04,4.96,,12.914,11.847,7.882,,3.988,5.704,3.336,,-0.48,-0.219,-0.259,,10.125,11.571,6.026,,-1.495,-0.661,-1.517,USD,,,,,,
REINSURANCE GROUP OF AMERICA,2288.0,2365.0,1500.0,"['Financial Services', 'Insurance']",822.0,709.0,545.0,3200.0,1973.0,,"Reinsurance Group of America, Incorporated",65.13,70.304,79.161,80.471,0.87,0.415,0.617,0.623,13.88,6.35,9.1,9.31,14.3,14.596,16.658,16.258,15.18,18.313,16.861,8.106,-2.638,-2.68,-4.628,-5.688,76.731,84.656,92.175,84.706,11.601,14.352,13.014,4.235,USD,False,,['reinsurance-group-of-america'],['Reinsurance Group of America'],0.0,3.0
LAMAR ADVERTISING COMPANY (REIT),1632.0,1730.0,1667.0,"['Real Estate', 'Consumer Services', 'Advertising', 'Property Investments']",628.0,682.0,596.0,3500.0,2014.0,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUILDERS FIRSTSOURCE,1343.0,1811.0,3987.0,"['Industries', 'Retail', 'Consumer Services', 'Construction Materials', 'Building Products and Equipment']",530.0,1004.0,1239.0,29000.0,1998.0,2005.0,"Builders FirstSource, Inc.",2.425,3.021,5.912,5.633,0.222,0.314,1.725,2.749,1.92,2.69,8.55,16.98,7.28,8.559,19.894,22.726,2.102,2.75,7.729,7.94,-0.199,-0.136,-1.345,-0.957,3.249,4.174,10.714,10.595,0.825,1.153,4.802,4.963,USD,,,,,,
ARES CAPITAL CORPORATION,1922.0,2104.0,1871.0,"['Financial Services', 'Asset Management']",710.0,762.0,653.0,2550.0,2004.0,,Ares Capital Corporation,7.438,9.02,11.975,12.843,0.793,0.484,1.567,0.6,1.86,1.14,3.51,1.21,0.824,0.541,1.678,0.741,14.438,15.667,19.962,21.844,,,,,14.905,16.196,20.843,22.398,7.467,7.176,8.868,9.555,USD,,,,,,
FIVE BELOW,1816.0,1693.0,2014.0,"['Consumer Cyclical', 'Retail', 'Consumer Services']",686.0,621.0,693.0,21900.0,2002.0,2012.0,"Five Below, Inc.",,1.199,1.433,1.76,,0.175,0.123,0.279,,3.14,2.21,4.98,,1.847,1.962,2.848,,0.76,0.882,1.12,,-0.194,-0.287,-0.466,,1.959,2.315,2.88,,0.76,0.882,1.12,USD,,,,,,
WESTERN DIGITAL CORPORATION,1012.0,1109.0,814.0,"['Technology', 'Electronics', 'Computers Hardware', 'Technology Hardware and Instruments']",428.0,413.0,333.0,65600.0,1970.0,,Western Digital Corporation,16.403,16.111,15.411,14.038,-0.754,-0.25,0.821,1.5,-2.58,-0.84,2.69,4.8100000000000005,16.569,16.736,16.922,18.793,20.213,18.84,19.195,19.243,-1.272,0.278,-0.765,-1.192,26.37,25.662,26.132,26.259,9.967,9.551,10.721,12.221,USD,,,,,,
LIBERTY PROPERTY TRUST,1572.0,1572.0,1572.0,"['Real Estate', 'Consumer Services']",607.0,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAIL RESORTS,1576.0,1652.0,1548.0,"['Consumer Cyclical', 'Consumer Services', 'Entertainment', 'Resorts']",610.0,579.0,559.0,6900.0,1997.0,1997.0,"Vail Resorts, Inc.",2.699,3.713,4.422,4.471,0.301,0.099,0.128,0.348,7.46,2.45,3.17,8.6,2.272,1.964,1.91,2.526,3.028,3.704,4.331,4.283,-0.596,-0.493,-0.103,-0.348,4.426,5.244,6.251,6.318,1.727,1.532,1.829,1.847,USD,,,,,,
BRUKER CORPORATION,1706.0,1557.0,1889.0,"['Healthcare', 'Biotechnology', 'Medical Equipment', 'Technology', 'Capital Goods']",654.0,689.0,656.0,8525.0,1960.0,,Bruker Corporation,1.854,2.072,2.565,2.487,0.197,0.158,0.277,0.297,1.27,1.03,1.83,2.0,2.073,1.988,2.418,2.531,1.73,1.818,2.306,2.326,-0.158,-0.194,-0.192,-0.239,2.772,3.048,3.65,3.618,0.917,0.976,1.085,1.132,USD,,,,,,
HYATT HOTELS CORPORATION,1789.0,2462.0,1654.0,"['Consumer Cyclical', 'Hotels', 'Consumer Services', 'Resorts']",675.0,742.0,592.0,189000.0,1957.0,2009.0,Hyatt Hotels Corporation,4.45,5.915,9.037,8.61,0.766,-0.703,-0.222,0.455,7.33,-6.93,-2.13,4.17,5.02,2.066,3.028,5.891,5.574,6.195,7.531,6.152,0.585,-0.736,-1.772,0.416,8.417,9.129,12.603,12.312,3.967,3.214,3.566,3.702,USD,,,,,,
SANTANDER CONSUMER USA HOLDINGS,1540.0,1599.0,1861.0,"['Financial Services', 'Provides Loans']",599.0,792.0,649.0,5576.0,1995.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,"['santander-bank', 'banco-santander-s-a']","['Santander Bank', 'Banco Santander, S.A.']",45.0,1.0
EASTMAN CHEMICAL COMPANY,1237.0,1367.0,1409.0,"['Basic Materials', 'Chemicals']",507.0,504.0,521.0,14500.0,1920.0,,Eastman Chemical Company,9.976,9.975,9.731,9.431,0.759,0.478,0.857,0.793,5.52,3.53,6.35,,9.273,8.473,10.476,10.58,11.569,11.292,10.116,9.178,-0.48,-0.394,-0.029,0.392,16.008,16.083,15.519,14.667,6.032,6.108,5.788,5.236,USD,,,,,,
DARLING INGREDIENTS,1795.0,1673.0,2851.0,"['Consumer Defensive', 'Animal Feed', 'FMCG', 'Food Products', 'Consumer Non Durables']",678.0,640.0,930.0,14600.0,1882.0,,Darling Ingredients Inc.,2.702,2.659,2.786,5.306,0.313,0.297,0.651,0.738,1.9,1.83,4.01,4.58,3.364,3.572,4.741,6.532,4.124,4.372,4.72,7.124,-0.338,-0.311,-0.49,-2.417,5.345,5.613,6.134,9.202,2.643,2.954,3.348,3.896,USD,,,,,,
WESTERN MIDSTREAM PARTNERS LP,1970.0,2297.0,1670.0,"['Energy', 'Oil and Gas', 'Utilities', 'Gas Utilities']",721.0,888.0,598.0,1217.0,2007.0,2012.0,"Western Midstream Partners, LP",9.001,8.935,8.177,8.164,0.697,0.527,0.916,1.217,1.59,1.18,2.18,3.01,2.746,2.773,2.877,3.252,11.147,10.177,9.359,9.541,-3.388,-0.448,-0.258,-0.218,12.346,11.83,11.273,11.272,3.345,2.895,3.096,3.108,USD,,,,,,
